         545536 function calls (545068 primitive calls) in 6.536 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      600    5.575    0.009    5.643    0.009 D:\Paralelni_Obchislennya\Python_lesson2_zamir_Mandelbrot\Python_lesson2_zamir_Mandelbrot\mandelbrot.py:11(ryadok)
    441/3    0.876    0.002    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
   540600    0.076    0.000    0.076    0.000 {method 'append' of 'list' objects}
      110    0.002    0.000    6.478    0.059 C:\Users\Kirill\AppData\Local\Python\pythoncore-3.14-64\Lib\threading.py:337(wait)
    82/52    0.002    0.000    3.351    0.064 C:\Users\Kirill\AppData\Local\Python\pythoncore-3.14-64\Lib\queue.py:177(get)
      111    0.001    0.000    0.001    0.000 C:\Users\Kirill\AppData\Local\Python\pythoncore-3.14-64\Lib\threading.py:325(_acquire_restore)
       29    0.001    0.000    0.002    0.000 c:\program files\microsoft visual studio\18\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\pydevd.py:1814(process_internal_commands)
       59    0.001    0.000    0.001    0.000 c:\program files\microsoft visual studio\18\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_daemon_thread.py:108(new_threading_enumerate)
       59    0.000    0.000    9.655    0.164 C:\Users\Kirill\AppData\Local\Python\pythoncore-3.14-64\Lib\threading.py:651(wait)
      169    0.000    0.000    0.000    0.000 C:\Users\Kirill\AppData\Local\Python\pythoncore-3.14-64\Lib\threading.py:316(__exit__)
      354    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       30    0.000    0.000    0.001    0.000 c:\program files\microsoft visual studio\18\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\pydevd.py:315(can_exit)
      163    0.000    0.000    0.000    0.000 C:\Users\Kirill\AppData\Local\Python\pythoncore-3.14-64\Lib\queue.py:266(_qsize)
       30    0.000    0.000    0.001    0.000 c:\program files\microsoft visual studio\18\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\pydevd.py:1515(has_user_threads_alive)
      192    0.000    0.000    0.000    0.000 {built-in method builtins.len}
